City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Yulara,AU,78.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
406,Kirakira,SB,75.63,overcast clouds,-10.45,161.92,SanBiz Lodge
408,Aksay,RU,77.0,clear sky,47.26,39.87,Chernaya Zhemchuzhina
410,Malia,GR,81.0,scattered clouds,35.28,25.47,Kalypso Hotel
415,Beira,MZ,77.0,few clouds,-19.84,34.84,Beira Terrace Hotel
416,Bontang,ID,79.93,scattered clouds,0.13,117.5,Okra Leaf Guest House Syariah
417,Kelapa Sawit,MY,78.8,few clouds,1.67,103.53,Tea Garden Hotel
423,Cabo San Lucas,MX,84.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
425,Thinadhoo,MV,83.03,overcast clouds,0.53,72.93,
427,Muros,ES,87.01,clear sky,42.78,-9.06,Apartment Av. Castelao
428,Sabang,ID,82.56,broken clouds,5.89,95.32,Hotel Citra
431,Santo Tomas,PH,82.99,few clouds,14.11,121.14,Microtel by Wyndham Batangas
433,Odweyne,SO,82.42,broken clouds,9.41,45.06,Eng Hiirey House
434,Champerico,GT,77.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
437,Zambezi,ZM,82.26,clear sky,-13.54,23.1,Royal Kutachika Lodge
442,Warwick,US,78.01,overcast clouds,41.7,-71.42,Hampton Inn & Suites Providence/Warwick-Airport
445,Bam,IR,82.2,clear sky,29.11,58.36,Bam Tourist Hotel
450,Verrettes,HT,87.98,clear sky,19.05,-72.47,"La Verrettienne,Hôtel/Restaurant/Club"
451,Benghazi,LY,83.61,clear sky,32.12,20.07,Tibesti Hotel
452,Anloga,GH,80.6,broken clouds,5.79,0.9,Dey Lodge
453,Praia Da Vitoria,PT,79.0,scattered clouds,38.73,-27.07,Hotel Branco I
455,Rabaul,PG,79.88,overcast clouds,-4.2,152.17,Rabaul Hotel
456,Sarakhs,IR,86.0,few clouds,36.54,61.16,Sarakhs Abrisham Hotel
457,Kollam,IN,82.4,drizzle,8.88,76.6,The Raviz Ashtamudi
460,Sekoma,BW,78.55,clear sky,-24.4,23.88,
462,Sinnamary,GF,87.49,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
467,Terre Haute,US,80.01,scattered clouds,39.47,-87.41,Drury Inn & Suites Terre Haute
468,Bela,IN,87.85,light rain,25.93,81.98,Siddharth Hotel
473,Buje,HR,82.0,clear sky,45.41,13.66,"Apartments & Restaurant ""Lovac"""
475,Honiara,SB,75.2,few clouds,-9.43,159.95,Heritage Park Hotel
477,Salvador,SV,84.2,few clouds,13.83,-88.92,Chico's Ranch
484,Pochutla,MX,75.0,overcast clouds,15.74,-96.47,Hotel Posada San Jose
485,Dunmore Town,BS,83.57,clear sky,25.5,-76.65,Coral Sands Hotel
487,Marabba,SD,87.01,clear sky,12.35,32.18,
488,Tiznit,MA,88.16,clear sky,29.58,-9.5,
489,Mtwara,TZ,75.94,overcast clouds,-10.27,40.18,Til Hotels
490,Bitung,ID,77.0,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
491,Mantua,IT,84.99,scattered clouds,45.17,10.78,Hotel la Favorita
493,Alappuzha,IN,80.17,light rain,9.49,76.33,Panoramic Sea Resort
496,Caravelas,BR,80.08,clear sky,-17.71,-39.25,Pousada dos Navegantes
500,Sterling,US,78.01,overcast clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
502,Samarai,PG,76.21,scattered clouds,-10.62,150.67,Nuli Sapi
505,Fowa,NG,77.14,light rain,8.92,6.4,
507,Hermosillo,MX,84.99,overcast clouds,29.07,-110.97,Hotel San Andrés
511,San Vicente,AR,87.55,light rain,-26.62,-54.13,Complejo Turístico Farelluk
521,Pangai,TO,76.82,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
524,Mhango,TZ,82.49,broken clouds,-3.28,32.85,
525,Monrovia,LR,79.27,moderate rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
531,Malumfashi,NG,85.03,broken clouds,11.79,7.62,INFINITY CYBER CAFE MALUMFASHI
533,Manado,ID,77.0,few clouds,1.49,124.85,Aryaduta Hotel
542,Kralendijk,BQ,83.82,broken clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
544,Ambilobe,MG,75.58,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
552,Bah,IN,88.48,broken clouds,26.87,78.6,Chambal Wildlife Safari Lodge
554,Gotha,DE,80.01,few clouds,50.95,10.7,Hotel Am Schlosspark
557,Guantanamo,CU,88.54,clear sky,20.14,-75.21,Hotel Marti
560,Inirida,CO,88.45,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
565,Saint-Francois,FR,88.0,clear sky,46.42,3.91,Manoir Du Bonheur
569,Ixtapa,MX,82.99,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
571,Teapa,MX,83.23,overcast clouds,17.55,-92.95,Hotel Quintero
573,Sindou,BF,78.91,overcast clouds,10.67,-5.17,LERABA HOTEL
574,Sibolga,ID,77.18,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
576,Lata,PT,90.0,few clouds,40.16,-8.33,Casa Maquia
577,Tarrafal,CV,84.2,scattered clouds,15.28,-23.77,Hotel Ixola
579,Takoradi,GH,79.07,overcast clouds,4.88,-1.76,Raybow International Hotel
580,Mabaruma,GY,87.85,broken clouds,8.2,-59.78,
582,Kloulklubed,PW,83.97,light rain,7.04,134.26,Storyboard Beach Resort
584,Devarkonda,IN,81.79,broken clouds,16.7,78.93,VANAM ANJANEYULU
588,Birao,CF,81.36,light rain,10.28,22.79,
590,Puerto Parra,CO,78.8,scattered clouds,6.65,-74.06,Hotel Colombia Deko
591,Osmanabad,IN,80.65,light rain,18.17,76.05,Hotel Megh Malhar
595,Isla Mujeres,MX,89.01,clear sky,21.23,-86.73,Hotel La Joya Isla Mujeres
597,Pandan,PH,81.61,broken clouds,14.05,124.17,Bonifacio Lodge
600,Agua Verde,MX,84.0,clear sky,22.9,-106.05,
601,Quelimane,MZ,78.8,few clouds,-17.88,36.89,Hotel Flamingo
602,Lodja,CD,82.35,broken clouds,-3.48,23.43,
606,Upata,VE,84.2,clear sky,8.01,-62.4,Posada Villa Nela
607,Yaan,NG,75.88,overcast clouds,7.38,8.57,
608,Boundiali,CI,81.07,overcast clouds,9.52,-6.49,Hotel Paysan Boundiali
609,Bachaquero,VE,86.85,broken clouds,9.97,-71.15,casa de los dinosaurios
610,Obera,AR,88.41,few clouds,-27.49,-55.12,CABAÑAS DORALIA
611,Lockhart,US,89.01,scattered clouds,28.62,-81.44,Sheraton Orlando North Hotel
612,Chavakkad,IN,78.8,moderate rain,10.53,76.05,Rajah Island
614,Waverley,ZA,82.4,clear sky,-25.7,28.26,Aves Indigo Guesthouse
615,Yorosso,ML,85.93,broken clouds,12.35,-4.78,Maison d'arrêt et de correction de Yoro
616,Pocking,DE,75.0,clear sky,48.4,13.32,Hotel Antoniushof
621,Kindu,CD,79.57,scattered clouds,-2.95,25.95,Hotel Karibu
630,Siparia,TT,86.0,shower rain,10.13,-61.5,Brook Gardens
632,Umm Lajj,SA,85.37,clear sky,25.02,37.27,Moon light Furnished Units
633,Bac Lieu,VN,80.47,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
634,Teknaf,BD,80.82,moderate rain,20.86,92.31,Magnum Engineering & Construction
635,Faya,SA,77.0,scattered clouds,18.39,42.45,مقبرة ال مجمل
637,Lorengau,PG,82.47,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
638,Fomboni,KM,77.59,scattered clouds,-12.28,43.74,Auberge les abou
643,Cabra,ES,88.0,clear sky,37.47,-4.44,MS Fuente Las Piedras
648,Mastic Beach,US,75.99,broken clouds,40.77,-72.85,Brushwood House by Smith Point Beach
650,Luanda,AO,77.0,few clouds,-8.84,13.23,EPIC SANA Luanda
656,Labuhan,ID,80.49,clear sky,-6.88,112.21,bador sepret
664,Ugoofaaru,MV,82.56,overcast clouds,5.67,73.0,Ungoofaaru Inn
668,Itabirito,BR,84.2,broken clouds,-20.25,-43.8,Hotel Pousada de Minas
670,Aljezur,PT,78.01,scattered clouds,37.32,-8.8,Amazigh Hostel
672,Bukama,CD,87.93,few clouds,-9.2,25.85,
676,Kuantan,MY,80.6,few clouds,3.81,103.33,Hotel Sentral Kuantan
678,Algiers,DZ,80.6,scattered clouds,36.75,3.04,Sofitel Algiers Hamma Garden
680,Bibiani,GH,78.01,moderate rain,6.46,-2.32,Rodick Hotel
681,Padova,IT,84.99,clear sky,45.42,11.88,Hotel Europa
682,Samba,IN,80.22,clear sky,32.57,75.12,"Vishal Guest House, Samba"
683,Kavaratti,IN,81.88,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
684,Nagato,JP,77.0,broken clouds,34.38,131.2,いそう庵
686,Oranjestad,AW,87.8,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
688,Nuevitas,CU,88.0,clear sky,21.55,-77.26,Hotel Caonaba
690,Mazatlan,MX,84.0,few clouds,23.22,-106.42,Gaviana Resort
693,Rafai,CF,75.24,light rain,4.95,23.92,
696,Praia,CV,84.2,scattered clouds,14.92,-23.51,LT Aparthotel
700,Saravan,AM,89.6,few clouds,39.72,45.65,
701,Ciuperceni,RO,87.8,clear sky,43.77,24.95,Primăria Ciuperceni
702,Bobo Dioulasso,BF,84.2,broken clouds,11.18,-4.3,Rasma Bed and Breakfast
704,Champasak,LA,75.38,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
707,Altamira,BR,89.6,broken clouds,-3.2,-52.21,Requinte Hotel
