City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Revda,RU,56.8,59.93,66.2,63,94,6.71,overcast clouds
83,Sorong,ID,-0.88,131.25,78.58,85,100,5.19,light rain
84,Teacapan,MX,22.55,-105.75,86.31,63,7,0.74,clear sky
85,Carballo,ES,43.21,-8.69,87.01,54,3,5.82,clear sky
86,Belaya Gora,RU,68.53,146.42,41.67,80,9,7.36,clear sky
87,Abeche,TD,13.83,20.83,93.2,48,40,6.93,scattered clouds
88,Shimoda,JP,34.67,138.95,72.0,88,100,7.63,overcast clouds
89,Keuruu,FI,62.27,24.7,55.99,90,91,1.99,overcast clouds
90,Faanui,PF,-16.48,-151.75,77.56,77,67,9.01,broken clouds
91,Arraial Do Cabo,BR,-22.97,-42.03,80.6,69,40,13.87,scattered clouds
92,Vila Franca Do Campo,PT,37.72,-25.43,77.0,83,40,12.75,scattered clouds
93,Vestmannaeyjar,IS,63.44,-20.27,48.2,81,40,11.41,scattered clouds
94,Isangel,VU,-19.55,169.27,66.47,80,34,7.38,scattered clouds
95,Verkhnyaya Inta,RU,65.98,60.31,58.57,80,92,8.08,overcast clouds
96,Adrar,MR,20.5,-10.07,104.18,16,0,12.57,clear sky
97,San Jeronimo,PE,-11.95,-75.28,59.16,44,29,0.87,scattered clouds
98,Mahebourg,MU,-20.41,57.7,71.6,73,40,17.22,scattered clouds
99,Salalah,OM,17.02,54.09,82.4,78,40,11.41,scattered clouds
100,Cuenca,EC,-2.88,-78.98,53.6,87,90,1.12,overcast clouds
101,Cabedelo,BR,-6.98,-34.83,82.4,65,75,18.34,broken clouds
102,Amapa,BR,1.0,-52.0,96.96,35,9,4.97,clear sky
103,San Isidro,PE,-12.12,-77.05,60.8,87,90,6.93,overcast clouds
104,Cururupu,BR,-1.83,-44.87,87.39,59,88,9.19,overcast clouds
105,Vila,PT,42.03,-8.16,88.0,25,55,7.0,broken clouds
106,Eyl,SO,7.98,49.82,77.76,74,53,21.14,broken clouds
107,Iqaluit,CA,63.75,-68.51,41.0,70,75,19.46,shower rain
108,Saint-Philippe,RE,-21.36,55.77,71.6,73,43,29.97,scattered clouds
109,Aksarayskiy,RU,46.79,48.01,78.8,44,78,13.42,broken clouds
110,Awash,ET,8.98,40.17,78.31,57,27,4.88,light rain
111,Tulum,MX,20.22,-87.47,84.0,76,10,1.99,clear sky
112,Calvinia,ZA,-31.47,19.78,74.44,20,0,5.93,clear sky
113,Castro,BR,-24.79,-50.01,78.12,52,85,5.84,overcast clouds
114,Abu Samrah,SY,35.3,37.18,90.05,16,0,11.39,clear sky
115,Arrifes,PT,37.77,-25.7,77.0,83,40,12.75,scattered clouds
116,Deori Khas,IN,23.4,79.02,79.81,81,28,3.78,light rain
117,Ritchie,ZA,-29.04,24.6,89.6,16,0,6.93,clear sky
118,Bintulu,MY,3.17,113.03,78.8,94,40,2.24,moderate rain
119,Susangerd,IR,31.56,48.18,113.0,17,0,2.24,clear sky
120,Prince Rupert,CA,54.32,-130.32,53.6,100,90,2.24,fog
121,Codrington,AU,-38.27,141.97,39.76,93,1,8.01,clear sky
122,Maunabo,PR,18.01,-65.9,88.0,100,10,7.0,clear sky
123,Ayagoz,KZ,47.97,80.44,46.63,55,0,9.89,clear sky
124,Padang,ID,-0.95,100.35,76.69,85,100,3.69,light rain
125,Paita,PE,-5.09,-81.11,66.2,72,100,16.11,overcast clouds
126,Hermanus,ZA,-34.42,19.23,64.0,71,1,1.01,clear sky
127,Mayo,US,38.89,-76.51,75.99,100,90,6.93,light rain
128,Herre,NO,59.1,9.57,66.0,50,0,3.0,clear sky
129,Plettenberg Bay,ZA,-34.05,23.37,61.7,78,8,7.61,clear sky
130,Cagdianao,PH,9.92,125.67,84.13,70,100,4.09,overcast clouds
131,Taoudenni,ML,22.68,-3.98,102.4,18,53,22.15,broken clouds
132,Zima,RU,53.92,102.04,49.23,74,0,4.45,clear sky
133,Batagay-Alyta,RU,67.8,130.41,36.72,80,0,1.72,clear sky
134,Hasaki,JP,35.73,140.83,77.0,88,75,5.82,broken clouds
135,Coquimbo,CL,-29.95,-71.34,59.0,62,33,8.05,scattered clouds
136,Kodiak,US,57.79,-152.41,47.66,79,84,2.08,broken clouds
137,Leinefelde,DE,51.38,10.33,73.0,72,86,1.01,overcast clouds
138,Ancud,CL,-41.87,-73.82,53.01,97,85,15.99,overcast clouds
139,Parainen,FI,60.31,22.3,57.99,88,99,14.0,overcast clouds
140,Dingle,PH,11.0,122.67,77.4,87,85,3.8,overcast clouds
141,Tuktoyaktuk,CA,69.45,-133.04,35.6,100,90,6.93,light rain
142,Worthing,GB,50.81,-0.37,73.99,74,63,8.01,broken clouds
143,Mar Del Plata,AR,-38.0,-57.56,61.0,87,75,6.93,light rain
144,Grand Gaube,MU,-20.01,57.66,72.0,75,2,8.01,clear sky
145,Avarua,CK,-21.21,-159.78,71.6,73,100,5.82,overcast clouds
146,La Rioja,ES,42.25,-2.5,86.0,23,20,2.24,few clouds
147,Klamath Falls,US,42.22,-121.78,51.01,59,1,4.7,clear sky
148,Itoman,JP,26.12,127.67,80.6,88,20,9.17,few clouds
149,Honningsvag,NO,70.98,25.97,49.66,87,93,7.63,overcast clouds
150,Padampur,IN,29.68,73.62,94.77,26,0,1.9,clear sky
151,Hudson Bay,CA,52.85,-102.38,50.72,48,12,5.26,few clouds
152,Kamaishi,JP,39.27,141.88,72.16,80,37,4.05,scattered clouds
153,Juneau,US,58.3,-134.42,60.01,88,82,3.0,broken clouds
154,Kharp,RU,66.8,65.81,54.45,91,99,3.18,overcast clouds
155,Clyde River,CA,70.47,-68.59,35.6,93,90,10.29,overcast clouds
156,Itaituba,BR,-4.28,-55.98,91.4,52,20,4.7,few clouds
157,Mustasaari,FI,63.11,21.68,59.0,81,62,7.0,broken clouds
158,Tuatapere,NZ,-46.13,167.68,45.0,67,37,8.01,scattered clouds
159,Morrinhos,BR,-17.73,-49.1,95.31,14,0,8.95,clear sky
160,San Borja,BO,-14.82,-66.85,100.49,19,0,4.79,clear sky
161,Toma,BF,12.77,-2.88,88.25,54,97,3.38,overcast clouds
162,Puerto Ayora,EC,-0.74,-90.35,70.0,85,98,7.0,overcast clouds
163,Hobyo,SO,5.35,48.53,77.04,75,51,26.87,broken clouds
164,Xuanhua,CN,40.61,115.04,62.64,50,11,5.48,few clouds
165,Ladario,BR,-19.0,-57.6,87.8,48,73,8.05,broken clouds
166,Rawson,AR,-43.3,-65.1,58.24,34,0,16.78,clear sky
167,Kamogata,JP,34.53,133.58,70.0,96,52,4.36,broken clouds
168,Hilo,US,19.73,-155.09,73.4,83,90,4.63,overcast clouds
169,Belyy Yar,RU,53.6,91.39,48.2,87,34,4.47,scattered clouds
170,Longyearbyen,SJ,78.22,15.64,44.6,75,75,11.41,light rain
171,Besikduzu,TR,41.05,39.23,71.49,77,16,5.91,few clouds
172,Luderitz,NA,-26.65,15.16,71.89,45,0,21.27,clear sky
173,Saint-Orens-De-Gameville,FR,43.55,1.53,82.0,53,75,4.7,broken clouds
174,Samastipur,IN,25.85,85.78,87.64,67,97,3.13,overcast clouds
175,Port Blair,IN,11.67,92.75,82.76,80,100,9.57,light rain
176,Kavieng,PG,-2.57,150.8,82.56,76,88,9.22,overcast clouds
177,Glens Falls,US,43.31,-73.64,77.0,76,76,4.0,broken clouds
178,Aykhal,RU,66.0,111.5,48.2,61,75,6.71,broken clouds
179,Waddan,LY,29.16,16.14,101.3,13,0,16.44,clear sky
180,Hidalgo,MX,20.5,-99.0,68.2,69,58,0.85,broken clouds
181,Smirnykh,RU,49.75,142.83,51.51,93,100,8.48,light rain
182,Hovd,MN,48.01,91.64,55.81,38,0,4.14,clear sky
183,Merauke,ID,-8.47,140.33,76.44,80,20,15.5,few clouds
184,Najran,SA,17.49,44.13,93.2,24,20,6.93,few clouds
185,Whitehorse,CA,60.72,-135.05,51.8,100,90,2.24,mist
186,Kayes,ML,14.0,-11.0,81.68,84,100,5.86,overcast clouds
187,Bethel,US,41.37,-73.41,78.01,77,99,1.92,overcast clouds
188,Vysha,RU,53.85,42.38,53.37,91,25,6.73,scattered clouds
189,Avera,US,33.19,-82.53,78.8,88,90,12.75,overcast clouds
190,Ponta Do Sol,PT,32.67,-17.1,80.6,65,20,19.46,few clouds
191,Lexington,US,37.99,-84.48,79.0,73,1,4.7,clear sky
192,Deputatskiy,RU,69.3,139.9,35.1,87,0,3.78,clear sky
193,Port Augusta,AU,-32.5,137.77,59.0,82,0,5.82,clear sky
194,Mayumba,GA,-3.43,10.66,74.97,82,99,8.86,overcast clouds
195,Esperance,AU,-33.87,121.9,69.8,49,40,17.22,scattered clouds
196,Namatanai,PG,-3.67,152.43,79.57,81,87,5.14,light rain
197,Atherton,GB,53.52,-2.49,64.99,55,65,11.01,broken clouds
198,Sorland,NO,67.67,12.69,51.78,75,100,21.47,overcast clouds
199,Aklavik,CA,68.22,-135.01,41.0,93,90,4.7,fog
200,Hambantota,LK,6.12,81.12,80.6,88,75,6.93,broken clouds
201,Maningrida,AU,-12.07,134.27,71.37,81,77,10.56,broken clouds
202,Chokurdakh,RU,70.63,147.92,40.5,81,55,7.02,broken clouds
203,Nago,JP,26.59,127.98,80.6,94,20,6.93,few clouds
204,Kahului,US,20.89,-156.47,77.0,69,1,9.17,clear sky
205,Chernyshevskiy,RU,63.01,112.47,44.87,97,100,1.77,light rain
206,Quatre Cocos,MU,-20.21,57.76,72.0,73,40,17.22,scattered clouds
207,Panama City,PA,8.99,-79.52,82.0,83,40,4.7,scattered clouds
208,Camana,PE,-16.62,-72.71,63.75,67,84,11.65,broken clouds
209,Vallenar,CL,-28.57,-70.76,81.77,15,21,5.68,few clouds
210,Miri,MY,4.41,114.01,80.6,88,40,3.36,light rain
211,Paamiut,GL,61.99,-49.67,43.34,94,100,2.42,light rain
212,Lindas,NO,60.74,5.16,53.01,82,100,47.0,overcast clouds
213,Erdenet,MN,49.03,104.08,50.38,91,86,2.24,overcast clouds
214,Teguldet,RU,57.31,88.17,41.13,94,18,1.45,few clouds
215,Sarmanovo,RU,55.26,52.59,53.6,87,90,20.13,light rain
